date,convenience_store,store,county_number,county,category,category_name,vendor_no,vendor,item,description,pack,liter_size,state_btl_cost,btl_price,bottle_qty,total
10-06-2014 00:00,NULL,2578,34,Floyd,1031080,80 PROOF VODKA,55,Sazerac North America,37938,Skol Vodka,6,1750,7.11,10.67,12,128.04
28-05-2014 00:00,NULL,4107,8,Boone,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,434,Luxco-St Louis,45248,Paramount Gold Rum,6,1750,7.84,11.76,6,70.56
04-03-2014 00:00,NULL,2602,40,Hamilton,1031200,FLAVORED VODKA,421,Sazerac Co. Inc.,41209,Firefly Sweet Tea Vodka,12,750,9.34,14.01,3,42.03
24-02-2014 00:00,NULL,2605,57,Linn,1032080,IMPORTED VODKA,65,Jim Beam Brands,34578,Pinnacle Vodka,6,1750,12.08,18.12,6,108.72
25-02-2014 00:00,NULL,3054,79,Poweshiek,1081600,WHISKEY LIQUEUR,259,Heaven Hill Distilleries Inc.,86796,Southern Host Whiskey Liqueur,12,750,5.37,8.05,3,24.15
07-07-2014 00:00,Y,4475,78,Pottawattamie,1012100,CANADIAN WHISKIES,260,Diageo Americas,11294,Crown Royal Canadian Whisky,24,375,7.75,11.63,12,139.56
12-11-2014 00:00,NULL,2545,52,Johnson,1011200,STRAIGHT BOURBON WHISKIES,125,Cedar Ridge VineyardsLLC,17206,Cedar Ridge Bourbon,6,750,17.6,26.4,12,316.8
17-04-2014 00:00,NULL,2954,77,Polk,1032200,IMPORTED VODKA - MISC,370,Pernod Ricard USA/Austin Nichols,34014,Absolut Apeach,12,750,8.99,13.49,36,485.64
28-04-2014 00:00,Y,4467,70,Muscatine,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,Bacardi U.S.A. Inc.,43121,Bacardi Superior Rum Mini,12,500,5.54,8.31,1,8.31
30-01-2014 00:00,Y,4874,44,Henry,1011200,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,19474,Maker's Mark,12,375,7.86,11.79,2,23.58
13-01-2015 00:00,NULL,3529,18,Cherokee,1031080,80 PROOF VODKA,434,Luxco-St Louis,36307,Hawkeye Vodka,12,1000,4.05,6.08,2,12.16
16-01-2014 00:00,NULL,4269,16,Cedar,1041100,AMERICAN DRY GINS,65,Jim Beam Brands,30238,Gilbey's Gin London Dry,6,1750,10.49,15.74,6,94.44
02-06-2014 00:00,Y,4984,70,Muscatine,1081390,IMPORTED SCHNAPPS,421,Sazerac Co. Inc.,69631,Dr. Mcgillicuddy's Cherry Mini,12,500,4.96,7.44,1,7.44
19-05-2014 00:00,NULL,2190,77,Polk,1012210,SINGLE MALT SCOTCH,420,Moet Hennessy USA Inc.,905136,Glenmorangie 18yr HA,6,750,57.99,86.99,3,260.97
20-01-2014 00:00,NULL,3907,70,Muscatine,1022100,TEQUILA,395,Proximo,89194,Jose Cuervo Especial Reposado Flask,24,375,5.5,8.25,6,49.5
31-07-2014 00:00,NULL,2595,24,Crawford,1031080,80 PROOF VODKA,205,E AND J GALLO WINERY,36969,New Amsterdam Vodka,12,750,6.9,10.35,1,10.35
27-08-2014 00:00,NULL,3926,52,Johnson,1032200,IMPORTED VODKA - MISC,277,Stoli Group,34881,Stolichnaya Vanil Vodka 75 Proof,12,1000,15.97,23.96,12,287.52
24-03-2014 00:00,Y,4955,17,Cerro Gordo,1031080,80 PROOF VODKA,297,Laird And Company,35918,Five O'clock,6,1750,7.2,10.79,6,64.74
16-01-2015 00:00,NULL,2512,52,Johnson,1081700,DISTILLED SPIRITS SPECIALTY,384,Piedmont Distillers,76042,Midnight Moon Blackberry,6,750,11.5,17.25,6,103.5
05-05-2014 00:00,NULL,2558,44,Henry,1011100,BLENDED WHISKIES,260,Diageo Americas,25607,Seagrams 7 Crown Bl Whiskey,12,1000,8,11.99,12,143.88
21-11-2014 00:00,NULL,2650,83,Shelby,1062310,SPICED RUM,259,Heaven Hill Distilleries Inc.,43025,Admiral Nelson Spiced Rum Traveler,12,750,5.78,8.67,12,104.04
19-08-2014 00:00,NULL,4137,25,Dallas,1012100,CANADIAN WHISKIES,85,Brown-Forman Corporation,12466,Canadian Mist Whisky,12,750,5.44,8.16,12,97.92
16-07-2014 00:00,NULL,3943,85,Story,1062300,FLAVORED RUM,260,Diageo Americas,43226,Captain Morgan Parrot Bay Passion Fruit,12,750,7.49,11.24,2,22.48
20-10-2014 00:00,NULL,3926,52,Johnson,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,380,Phillips Beverage Company,45419,Phillips White Rum,12,1000,4.45,6.68,120,801.6
06-03-2014 00:00,NULL,2549,91,Warren,1031080,80 PROOF VODKA,297,Laird And Company,35918,Five O'clock,6,1750,7.2,10.79,6,64.74
21-04-2014 00:00,NULL,4091,17,Cerro Gordo,1062310,SPICED RUM,260,Diageo Americas,43336,Captain Morgan Original Spiced,12,750,8.75,13.12,12,157.44
20-10-2014 00:00,NULL,2653,92,Washington,1031200,FLAVORED VODKA,259,Heaven Hill Distilleries Inc.,41840,Burnett's Limeade Vodka,12,750,4.84,7.26,2,14.52
28-01-2015 00:00,NULL,3698,77,Polk,1012100,CANADIAN WHISKIES,260,Diageo Americas,11346,Seagrams V.o. Bl Canadian Whisky,12,750,7.5,11.25,2,22.5
27-03-2014 00:00,NULL,4617,77,Polk,1062300,FLAVORED RUM,370,Pernod Ricard USA/Austin Nichols,42676,Malibu Passion Fruit Rum,12,750,7.5,11.24,3,33.72
24-06-2014 00:00,NULL,2228,61,Madison,1032080,IMPORTED VODKA,35,Bacardi U.S.A. Inc.,34422,Grey Goose Vodka,6,1000,22,33,2,66
17-02-2014 00:00,NULL,3833,15,Cass,1062310,SPICED RUM,260,Diageo Americas,1799,Captain Morgan Spiced Barrel,6,1750,17.75,26.62,12,319.44
22-01-2014 00:00,NULL,2958,77,Polk,1031080,80 PROOF VODKA,255,Wilson Daniels Ltd.,37888,Seagrams Vodka,6,1750,10,14.99,6,89.94
15-04-2014 00:00,NULL,4734,77,Polk,1012100,CANADIAN WHISKIES,65,Jim Beam Brands,15248,Windsor Canadian Pet,6,1750,8.92,13.38,6,80.28
03-09-2014 00:00,NULL,5004,47,Ida,1062310,SPICED RUM,260,Diageo Americas,43316,Captain Morgan Private Stock Rum,12,750,11.45,17.18,12,206.16
23-09-2014 00:00,NULL,2629,78,Pottawattamie,1022100,TEQUILA,55,Sazerac North America,88147,Montezuma White Tequila,12,1000,7.02,10.53,24,252.72
29-04-2014 00:00,NULL,3529,18,Cherokee,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,Bacardi U.S.A. Inc.,43125,Bacardi Superior Rum Pet,12,750,8,12,2,24
22-05-2014 00:00,NULL,2448,91,Warren,1062300,FLAVORED RUM,35,Bacardi U.S.A. Inc.,43137,Bacardi Limon,12,1000,9.5,14.75,3,44.25
19-02-2015 00:00,NULL,4802,77,Polk,1022100,TEQUILA,395,Proximo,89196,Jose Cuervo Especial Reposado Tequila,12,750,10.49,15.74,12,188.88
05-02-2014 00:00,NULL,2501,85,Story,1031200,FLAVORED VODKA,205,E AND J GALLO WINERY,40297,New Amsterdam Citron,12,750,6.9,10.35,4,41.4
19-02-2014 00:00,NULL,2567,82,Scott,1081390,IMPORTED SCHNAPPS,421,Sazerac Co. Inc.,69636,Dr. Mcgillicuddy's Cherry Schnapps,12,750,8.67,13.01,3,39.03
16-04-2014 00:00,NULL,2572,7,Black Hawk,1081600,WHISKEY LIQUEUR,85,Brown-Forman Corporation,86886,Southern Comfort,12,750,9.85,14.78,12,177.36
09-06-2014 00:00,NULL,2650,83,Shelby,1012100,CANADIAN WHISKIES,115,Constellation Wine Company Inc.,11777,Black Velvet,12,1000,6.63,9.94,24,238.56
28-01-2014 00:00,NULL,4015,85,Story,1031080,80 PROOF VODKA,434,LUXCO,36306,Hawkeye Vodka,12,750,3.34,5.01,24,120.24
09-06-2014 00:00,NULL,2633,77,Polk,1082900,MISC. IMPORTED CORDIALS & LIQUEURS,35,Bacardi U.S.A. Inc.,64876,Drambuie Liqueur,12,750,21,31.5,1,31.5
16-04-2014 00:00,NULL,2600,62,Mahaska,1081305,APPLE SCHNAPPS,65,Jim Beam Brands,82606,Dekuyper Sour Apple Pucker,12,750,6.3,9.45,2,18.9
29-05-2014 00:00,NULL,3926,52,Johnson,1081370,WATERMELON SCHNAPPS,65,Jim Beam Brands,82867,Dekuyper Watermelon Pucker,12,1000,7.62,11.43,12,137.16
07-01-2014 00:00,Y,4941,77,Polk,1062310,SPICED RUM,259,Heaven Hill Distilleries Inc.,43026,Admiral Nelson Spiced Rum,12,750,5.78,8.67,12,104.04
01-12-2014 00:00,NULL,2573,70,Muscatine,1031080,80 PROOF VODKA,461,Campari(skyy),37986,Skyy Vodka,12,750,8.48,13.49,12,161.88
21-04-2014 00:00,NULL,3963,78,Pottawattamie,1081390,IMPORTED SCHNAPPS,260,Diageo Americas,69946,Rumple Minze Peppermint Schnapps Liqueur,12,750,12.75,19.13,6,114.78
